time,x,y,z,yaw,platform,trajectory,traj_double,traj_short,traj_spin,traj_time,ref_time,comptime,x_ref,y_ref,yaw_ref,z_ref,throttle_input,p_input,q_input,r_input,cbf_term_pitch_cbf,cbf_term_roll_cbf,cbf_term_thrust_cbf,cbf_term_yaw_cbf
10.054138660430908,-0.13658646,0.040612582,-2.5317025,0.009358302425832726,SIM,HOVER,NormSpd,Not Short,NoSpin,0.04427361488342285,1.2442736148834228,0.0009524822235107422,1.0,1.0,0.0,-4.0,0.7719836943604587,0.015920000000000007,-0.09222378433269307,0.00255064982304368,5.131647103371189,-9.723229207628583,0.0,0.0
10.149445533752441,-0.14092036,0.034729373,-2.5455346,0.010349950066993208,nan,nan,nan,nan,nan,0.13959026336669922,1.3395902633666992,0.0003581047058105469,1.0,1.0,0.0,-4.0,0.7893635022831254,0.08372939659302685,-0.15343421962921402,0.02280318234750807,3.2772421712533317,-6.643823247005973,-17.829672102441215,0.0
10.249444723129272,-0.14784634,0.03129703,-2.570993,0.012911048265886575,nan,nan,nan,nan,nan,0.2395622730255127,1.4395622730255127,0.0003647804260253906,1.0,1.0,0.0,-4.0,0.7952766936431144,0.15221770542299312,-0.21525749791858165,0.033118411367938985,1.273051229228459,-3.70894652336064,0.0,0.0
10.349440813064575,-0.14973234,0.031944443,-2.6168106,0.017215516470452177,nan,nan,nan,nan,nan,0.339587926864624,1.539587926864624,0.00035953521728515625,1.0,1.0,0.0,-4.0,0.7867182573604233,0.21415730427648189,-0.24782669573396449,0.03171871066777659,0.0,-0.5275305371009321,0.0,0.0
10.449418783187866,-0.14289258,0.0363157,-2.6727762,0.021843914125497545,nan,nan,nan,nan,nan,0.4395592212677002,1.6395592212677002,0.0003516674041748047,1.0,1.0,0.0,-4.0,0.7745107456105946,0.19130672912800553,-0.18632277996954158,0.013461920538117535,0.0,0.0,0.0,0.0
10.549448728561401,-0.12697822,0.044532895,-2.7383878,0.026628336278740408,nan,nan,nan,nan,nan,0.5396168231964111,1.739616823196411,0.0003597736358642578,1.0,1.0,0.0,-4.0,0.7636569010052946,0.11827254332713931,-0.10832689896542248,-0.006057231584778237,0.0,0.0,1.1494655039000161,0.0
10.649346828460693,-0.099071205,0.05298216,-2.8155313,0.031022004410555096,nan,nan,nan,nan,nan,0.6394968032836914,1.8394968032836914,0.00037479400634765625,1.0,1.0,0.0,-4.0,0.7537133114985454,0.05125798023584497,-0.03597008453730492,-0.02107480266396237,0.0,0.0,3.0088270978180347,0.0
10.749238729476929,-0.06006651,0.07104543,-2.8861,0.035061526273982846,nan,nan,nan,nan,nan,0.7393734455108643,1.9393734455108642,0.0004954338073730469,1.0,1.0,0.0,-4.0,0.7446076815092135,-0.006318190701066311,0.02951121763883703,-0.031577709530088593,0.0,0.0,1.5518675343249813,0.0
10.849258184432983,-0.0043666456,0.10610559,-2.9600937,0.03940710444643811,nan,nan,nan,nan,nan,0.8393893241882324,2.0393893241882326,0.0003540515899658203,1.0,1.0,0.0,-4.0,0.7366374752687235,-0.05597742616137889,0.08691329793807225,-0.037829199320891425,0.0,0.0,0.10842629000322912,0.0
10.950120449066162,0.057664014,0.1519797,-3.0292315,0.043532325184687366,nan,nan,nan,nan,nan,0.9402968883514404,2.1402968883514406,0.0003676414489746094,1.0,1.0,0.0,-4.0,0.7309634164000118,-0.09800527909388546,0.1328549667143854,-0.04035818217967949,0.0,0.0,0.0,0.0
11.049630641937256,0.13237065,0.21109551,-3.1092386,0.04763459938278872,nan,nan,nan,nan,nan,1.0398266315460205,2.2398266315460207,0.00034737586975097656,1.0,1.0,0.0,-4.0,0.7264333348403849,-0.12703647929131046,0.16385384176751014,-0.04023052113286302,0.0,0.0,0.0,0.0
11.149500131607056,0.21229126,0.27093798,-3.1844223,0.05040408971851404,nan,nan,nan,nan,nan,1.1396496295928955,2.3396496295928957,0.0003750324249267578,1.0,1.0,0.0,-4.0,0.722396639301649,-0.14405733804931642,0.18468637329257329,-0.038592612954379366,0.0,0.0,0.0,0.0
11.249534606933594,0.3077325,0.34042177,-3.266117,0.05206734549742039,nan,nan,nan,nan,nan,1.2397434711456299,2.43974347114563,0.0003948211669921875,1.0,1.0,0.0,-4.0,0.7189863146417748,-0.14887067009032906,0.19567928697800072,-0.03622165407134304,0.0,0.0,0.0,0.0
11.349470615386963,0.39680368,0.4071223,-3.3417764,0.05269066307229357,nan,nan,nan,nan,nan,1.3396177291870117,2.539617729187012,0.0003528594970703125,1.0,1.0,0.0,-4.0,0.7161581798120307,-0.14418428104148862,0.19705109942301,-0.03388816793185264,0.0,0.0,0.0,0.0
11.449585676193237,0.4908315,0.4795379,-3.4233658,0.052851194736709316,nan,nan,nan,nan,nan,1.4397246837615967,2.639724683761597,0.0003445148468017578,1.0,1.0,0.0,-4.0,0.7137080830784052,-0.13283426970539608,0.1861617049613938,-0.03273830384820579,0.0,0.0,0.0,0.0
11.549394845962524,0.5766286,0.54311675,-3.498053,0.05203334555866206,nan,nan,nan,nan,nan,1.5396111011505127,2.739611101150513,0.0003516674041748047,1.0,1.0,0.0,-4.0,0.7115757344450468,-0.1142978289199086,0.1676593140474963,-0.03247644369922035,0.0,0.0,0.0,0.0
11.649401426315308,0.6675745,0.610197,-3.5696585,0.05095896770801246,nan,nan,nan,nan,nan,1.6395459175109863,2.8395459175109865,0.0003819465637207031,1.0,1.0,0.0,-4.0,0.7101405947964924,-0.0938461373246311,0.14461358264462282,-0.03296190302910192,0.0,0.0,0.0,0.0
